
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       13,714,244.39 |               72.92 |    0.0% |  174,063,627.35 |   54,411,039.26 |  3.199 |  19,922,951.06 |    0.0% |      2.62 | `len=16`
|        9,902,471.35 |              100.98 |    0.1% |  132,120,586.21 |   39,266,391.06 |  3.365 |  15,728,645.94 |    0.0% |      1.89 | `len=12`
|        6,422,277.25 |              155.71 |    0.1% |   90,177,545.17 |   25,475,857.81 |  3.540 |  11,534,340.88 |    0.0% |      1.23 | `len=8`
|        3,078,180.50 |              324.87 |    0.2% |   48,234,504.17 |   12,183,781.81 |  3.959 |   7,340,035.88 |    0.0% |      0.59 | `len=4`
|        1,067,380.68 |              936.87 |    0.0% |   15,728,647.56 |    4,231,825.31 |  3.717 |   3,145,731.26 |    0.0% |      0.20 | `len=1`
|        1,824,167.06 |              548.20 |    0.0% |   27,262,983.76 |    7,233,680.56 |  3.769 |   5,242,883.47 |    0.0% |      0.35 | `len=2`
|        1,066,323.62 |              937.80 |    0.1% |   15,728,647.56 |    4,230,447.32 |  3.718 |   3,145,731.25 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-1      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       13,246,671.63 |               75.49 |    0.0% |  177,209,355.22 |   52,539,971.11 |  3.373 |  22,020,102.94 |    0.0% |      2.53 | `len=16`
|        9,641,708.65 |              103.72 |    0.0% |  135,266,314.12 |   38,248,242.84 |  3.537 |  17,825,797.83 |    0.0% |      1.84 | `len=12`
|        6,393,636.00 |              156.41 |    0.2% |   93,323,273.17 |   25,333,240.89 |  3.684 |  13,631,492.88 |    0.0% |      1.22 | `len=8`
|        3,118,743.17 |              320.64 |    0.0% |   51,380,232.17 |   12,336,974.89 |  4.165 |   9,437,187.88 |    0.0% |      0.60 | `len=4`
|          793,858.72 |            1,259.67 |    0.0% |   15,728,647.47 |    3,147,422.75 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`
|        1,543,643.16 |              647.82 |    0.0% |   30,408,711.69 |    6,121,248.39 |  4.968 |   7,340,035.41 |    0.0% |      0.29 | `len=2`
|          793,836.59 |            1,259.71 |    0.0% |   15,728,647.47 |    3,147,403.47 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-u8     
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       12,920,258.06 |               77.40 |    0.0% |  177,209,355.12 |   51,253,255.00 |  3.458 |  22,020,102.82 |    0.0% |      2.47 | `len=16`
|        9,043,521.06 |              110.58 |    0.0% |  135,266,313.94 |   35,862,196.50 |  3.772 |  17,825,797.65 |    0.0% |      1.73 | `len=12`
|        5,678,391.39 |              176.11 |    0.1% |   93,323,272.94 |   22,497,410.06 |  4.148 |  13,631,492.65 |    0.0% |      1.08 | `len=8`
|        2,667,967.69 |              374.82 |    0.1% |   51,380,232.05 |   10,552,760.50 |  4.869 |   9,437,187.75 |    0.0% |      0.51 | `len=4`
|          793,405.18 |            1,260.39 |    0.1% |   15,728,647.47 |    3,147,303.82 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`
|        1,322,773.41 |              755.99 |    0.0% |   30,408,711.62 |    5,246,337.28 |  5.796 |   7,340,035.33 |    0.0% |      0.25 | `len=2`
|          793,664.06 |            1,259.98 |    0.0% |   15,728,647.47 |    3,147,344.25 |  4.997 |   4,194,307.19 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-m10    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       12,814,444.19 |               78.04 |    0.3% |  177,209,355.06 |   50,814,328.19 |  3.487 |  22,020,102.79 |    0.0% |      2.45 | `len=16`
|        9,021,790.78 |              110.84 |    0.1% |  135,266,313.94 |   35,782,849.83 |  3.780 |  17,825,797.65 |    0.0% |      1.72 | `len=12`
|        5,632,950.29 |              177.53 |    0.2% |   93,323,272.94 |   22,306,355.61 |  4.184 |  13,631,492.63 |    0.0% |      1.08 | `len=8`
|        2,661,458.35 |              375.73 |    0.0% |   51,380,232.00 |   10,529,949.28 |  4.879 |   9,437,187.74 |    0.0% |      0.53 | `len=4`
|          793,194.84 |            1,260.72 |    0.0% |   15,728,647.47 |    3,147,329.63 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`
|        1,323,060.25 |              755.82 |    0.0% |   30,408,711.62 |    5,246,224.63 |  5.796 |   7,340,035.33 |    0.0% |      0.25 | `len=2`
|          793,257.31 |            1,260.63 |    0.1% |   15,728,647.47 |    3,147,314.82 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-and    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,607,575.94 |               94.27 |    0.0% |  146,800,650.42 |   42,004,823.56 |  3.495 |  22,020,102.12 |    0.0% |      2.03 | `len=16`
|        7,607,780.22 |              131.44 |    0.3% |  113,246,217.50 |   30,129,114.00 |  3.759 |  17,825,797.22 |    0.0% |      1.45 | `len=12`
|        5,131,165.29 |              194.89 |    0.2% |   79,691,784.78 |   20,298,250.53 |  3.926 |  13,631,492.50 |    0.0% |      0.98 | `len=8`
|        2,586,899.38 |              386.56 |    0.0% |   46,137,352.00 |   10,232,650.06 |  4.509 |   9,437,187.72 |    0.0% |      0.49 | `len=4`
|        1,057,907.75 |              945.26 |    0.1% |   17,825,799.56 |    4,195,781.38 |  4.249 |   4,194,307.26 |    0.0% |      0.20 | `len=1`
|        1,851,254.18 |              540.17 |    0.0% |   29,360,135.78 |    7,342,883.44 |  3.998 |   7,340,035.50 |    0.0% |      0.35 | `len=2`
|        1,057,528.53 |              945.60 |    0.0% |   17,825,799.56 |    4,195,807.35 |  4.248 |   4,194,307.25 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-xor    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,606,411.94 |               94.28 |    0.0% |  146,800,650.41 |   42,005,988.56 |  3.495 |  22,020,102.12 |    0.0% |      2.03 | `len=16`
|        7,637,792.56 |              130.93 |    0.1% |  113,246,217.53 |   30,223,319.50 |  3.747 |  17,825,797.24 |    0.0% |      1.46 | `len=12`
|        5,150,384.50 |              194.16 |    0.2% |   79,691,784.78 |   20,393,318.88 |  3.908 |  13,631,492.50 |    0.0% |      0.99 | `len=8`
|        2,596,514.12 |              385.13 |    0.0% |   46,137,352.00 |   10,274,473.29 |  4.490 |   9,437,187.72 |    0.0% |      0.50 | `len=4`
|        1,057,930.05 |              945.24 |    0.0% |   17,825,799.56 |    4,195,854.53 |  4.248 |   4,194,307.25 |    0.0% |      0.20 | `len=1`
|        1,851,092.83 |              540.22 |    0.0% |   29,360,135.78 |    7,342,937.50 |  3.998 |   7,340,035.50 |    0.0% |      0.35 | `len=2`
|        1,057,549.06 |              945.58 |    0.0% |   17,825,799.53 |    4,195,820.50 |  4.248 |   4,194,307.25 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-range  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       13,021,117.42 |               76.80 |    0.0% |  161,480,715.12 |   51,645,006.94 |  3.127 |  22,020,102.84 |    0.0% |      2.49 | `len=16`
|        8,942,290.74 |              111.83 |    0.0% |  123,731,977.94 |   35,466,341.32 |  3.489 |  17,825,797.62 |    0.0% |      1.71 | `len=12`
|        5,844,278.32 |              171.11 |    0.1% |   85,983,241.00 |   23,160,686.94 |  3.712 |  13,631,492.69 |    0.0% |      1.12 | `len=8`
|        2,687,717.72 |              372.06 |    0.1% |   48,234,504.06 |   10,640,091.35 |  4.533 |   9,437,187.75 |    0.0% |      0.51 | `len=4`
|          793,314.06 |            1,260.53 |    0.1% |   16,777,223.47 |    3,147,349.41 |  5.331 |   4,194,307.18 |    0.0% |      0.15 | `len=1`
|        1,401,574.89 |              713.48 |    0.2% |   29,360,135.65 |    5,555,683.42 |  5.285 |   7,340,035.37 |    0.0% |      0.27 | `len=2`
|          793,393.11 |            1,260.41 |    0.0% |   16,777,223.47 |    3,147,389.12 |  5.331 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-range-1
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       13,007,889.00 |               76.88 |    0.0% |  161,480,715.12 |   51,632,428.35 |  3.128 |  22,020,102.84 |    0.0% |      2.48 | `len=16`
|        8,907,331.59 |              112.27 |    0.0% |  123,731,977.89 |   35,315,624.22 |  3.504 |  17,825,797.62 |    0.0% |      1.70 | `len=12`
|        5,849,541.39 |              170.95 |    0.1% |   85,983,241.00 |   23,173,840.69 |  3.710 |  13,631,492.69 |    0.0% |      1.12 | `len=8`
|        2,696,189.74 |              370.89 |    0.1% |   48,234,504.06 |   10,670,557.79 |  4.520 |   9,437,187.75 |    0.0% |      0.52 | `len=4`
|          793,532.83 |            1,260.19 |    0.1% |   16,777,223.47 |    3,147,345.26 |  5.331 |   4,194,307.18 |    0.0% |      0.15 | `len=1`
|        1,405,375.74 |              711.55 |    0.0% |   29,360,135.65 |    5,574,359.21 |  5.267 |   7,340,035.37 |    0.0% |      0.27 | `len=2`
|          793,147.05 |            1,260.80 |    0.0% |   16,777,223.47 |    3,147,369.71 |  5.331 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,518,799.94 |               95.07 |    0.0% |  145,752,074.39 |   41,680,050.42 |  3.497 |  22,020,102.11 |    0.0% |      2.01 | `len=16`
|        7,655,459.47 |              130.63 |    0.1% |  112,197,641.53 |   30,319,004.76 |  3.701 |  17,825,797.25 |    0.0% |      1.46 | `len=12`
|        5,374,725.33 |              186.06 |    0.1% |   78,643,208.84 |   21,286,237.78 |  3.695 |  13,631,492.56 |    0.0% |      1.03 | `len=8`
|        2,610,186.11 |              383.11 |    0.3% |   45,088,776.00 |   10,330,741.00 |  4.365 |   9,437,187.74 |    0.0% |      0.52 | `len=4`
|          793,191.16 |            1,260.73 |    0.1% |   15,728,647.47 |    3,147,391.22 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`
