
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       13,723,180.17 |               72.87 |    0.0% |  174,063,627.35 |   54,463,410.25 |  3.196 |  19,922,951.06 |    0.0% |      2.62 | `len=16`
|        9,918,475.28 |              100.82 |    0.1% |  132,120,586.21 |   39,346,384.94 |  3.358 |  15,728,645.94 |    0.0% |      1.90 | `len=12`
|        6,416,900.89 |              155.84 |    0.1% |   90,177,545.17 |   25,438,784.56 |  3.545 |  11,534,340.88 |    0.0% |      1.23 | `len=8`
|        3,086,282.00 |              324.01 |    0.2% |   48,234,504.18 |   12,210,951.62 |  3.950 |   7,340,035.88 |    0.0% |      0.59 | `len=4`
|        1,066,472.06 |              937.67 |    0.0% |   15,728,647.56 |    4,230,916.94 |  3.718 |   3,145,731.26 |    0.0% |      0.20 | `len=1`
|        1,822,824.71 |              548.60 |    0.0% |   27,262,983.78 |    7,233,081.44 |  3.769 |   5,242,883.50 |    0.0% |      0.35 | `len=2`
|        1,067,275.72 |              936.97 |    0.1% |   15,728,647.56 |    4,232,205.00 |  3.716 |   3,145,731.26 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-1      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       13,250,095.65 |               75.47 |    0.0% |  177,209,355.19 |   52,568,698.19 |  3.371 |  22,020,102.89 |    0.0% |      2.53 | `len=16`
|        9,653,856.88 |              103.59 |    0.1% |  135,266,314.12 |   38,292,270.17 |  3.532 |  17,825,797.83 |    0.0% |      1.84 | `len=12`
|        6,397,897.24 |              156.30 |    0.2% |   93,323,273.17 |   25,366,782.35 |  3.679 |  13,631,492.88 |    0.0% |      1.22 | `len=8`
|        3,120,337.89 |              320.48 |    0.0% |   51,380,232.18 |   12,345,536.00 |  4.162 |   9,437,187.88 |    0.0% |      0.60 | `len=4`
|          793,847.11 |            1,259.69 |    0.1% |   15,728,647.47 |    3,147,440.12 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`
|        1,542,960.83 |              648.10 |    0.0% |   30,408,711.69 |    6,121,514.94 |  4.968 |   7,340,035.41 |    0.0% |      0.29 | `len=2`
|          793,474.21 |            1,260.28 |    0.1% |   15,728,647.47 |    3,147,490.00 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-u8     
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       12,908,380.69 |               77.47 |    0.0% |  177,209,355.11 |   51,212,196.17 |  3.460 |  22,020,102.81 |    0.0% |      2.47 | `len=16`
|        9,032,733.71 |              110.71 |    0.1% |  135,266,313.94 |   35,817,624.18 |  3.777 |  17,825,797.65 |    0.0% |      1.72 | `len=12`
|        5,751,692.76 |              173.86 |    0.1% |   93,323,272.94 |   22,780,953.50 |  4.097 |  13,631,492.67 |    0.0% |      1.10 | `len=8`
|        2,672,310.94 |              374.21 |    0.0% |   51,380,232.06 |   10,575,053.74 |  4.859 |   9,437,187.75 |    0.0% |      0.51 | `len=4`
|          793,639.41 |            1,260.02 |    0.1% |   15,728,647.47 |    3,147,361.50 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`
|        1,322,621.41 |              756.07 |    0.0% |   30,408,711.62 |    5,246,025.18 |  5.797 |   7,340,035.33 |    0.0% |      0.25 | `len=2`
|          793,305.31 |            1,260.55 |    0.1% |   15,728,647.47 |    3,147,321.37 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-m10    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       12,801,011.39 |               78.12 |    0.2% |  177,209,355.06 |   50,785,004.94 |  3.489 |  22,020,102.79 |    0.0% |      2.45 | `len=16`
|        9,009,944.89 |              110.99 |    0.1% |  135,266,313.94 |   35,722,519.84 |  3.787 |  17,825,797.65 |    0.0% |      1.72 | `len=12`
|        5,747,375.22 |              173.99 |    0.0% |   93,323,272.94 |   22,760,998.56 |  4.100 |  13,631,492.67 |    0.0% |      1.10 | `len=8`
|        2,667,062.26 |              374.94 |    0.1% |   51,380,232.06 |   10,554,886.88 |  4.868 |   9,437,187.75 |    0.0% |      0.51 | `len=4`
