
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       11,560,856.82 |               86.50 |    0.0% |  144,703,498.72 |   45,834,557.06 |  3.157 |  18,874,373.38 |    0.0% |      2.21 | `len=16`
|        8,844,355.35 |              113.07 |    0.0% |  111,149,065.88 |   35,058,848.83 |  3.170 |  14,680,068.53 |    0.0% |      1.69 | `len=12`
|        6,102,571.29 |              163.87 |    0.1% |   77,594,633.06 |   24,193,092.21 |  3.207 |  10,485,763.72 |    0.0% |      1.17 | `len=8`
|        3,145,224.24 |              317.94 |    0.0% |   44,040,200.18 |   12,459,365.61 |  3.535 |   6,291,458.83 |    0.0% |      0.60 | `len=4`
|        1,065,568.50 |              938.47 |    0.0% |   17,825,799.56 |    4,227,015.69 |  4.217 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,757,447.28 |              569.01 |    0.0% |   27,262,983.76 |    6,974,662.89 |  3.909 |   4,194,306.41 |    0.0% |      0.34 | `len=2`
|        1,065,623.63 |              938.42 |    0.0% |   17,825,799.56 |    4,226,114.94 |  4.218 |   3,145,730.21 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-1      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       11,403,414.50 |               87.69 |    0.0% |  147,849,226.67 |   45,215,963.65 |  3.270 |  18,874,373.31 |    0.0% |      2.18 | `len=16`
|        8,750,192.06 |              114.28 |    0.0% |  114,294,793.84 |   34,696,146.61 |  3.294 |  14,680,068.50 |    0.0% |      1.67 | `len=12`
|        5,960,041.71 |              167.78 |    0.2% |   80,740,361.00 |   23,625,992.18 |  3.417 |  10,485,763.68 |    0.0% |      1.14 | `len=8`
|        2,969,145.12 |              336.80 |    0.0% |   47,185,928.12 |   11,753,210.11 |  4.015 |   6,291,458.78 |    0.0% |      0.57 | `len=4`
|        1,321,713.26 |              756.59 |    0.0% |   20,971,527.62 |    5,244,880.41 |  3.998 |   3,145,730.28 |    0.0% |      0.25 | `len=1`
|        1,639,498.00 |              609.94 |    0.1% |   30,408,711.72 |    6,503,941.44 |  4.675 |   4,194,306.38 |    0.0% |      0.31 | `len=2`
|        1,322,001.06 |              756.43 |    0.0% |   20,971,527.63 |    5,244,797.94 |  3.999 |   3,145,730.29 |    0.0% |      0.25 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-u8     
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,359,620.00 |               96.53 |    0.0% |  145,752,074.35 |   41,044,189.76 |  3.551 |  18,874,373.00 |    0.0% |      1.98 | `len=16`
|        7,808,945.94 |              128.06 |    0.0% |  112,197,641.56 |   30,919,677.94 |  3.629 |  14,680,068.22 |    0.0% |      1.49 | `len=12`
|        4,973,731.67 |              201.06 |    0.4% |   78,643,208.75 |   19,689,042.22 |  3.994 |  10,485,763.39 |    0.0% |      0.95 | `len=8`
|        2,638,985.82 |              378.93 |    0.0% |   45,088,776.00 |   10,442,664.19 |  4.318 |   6,291,458.68 |    0.0% |      0.50 | `len=4`
