
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       15,599,008.44 |               64.11 |    0.0% |  195,035,147.94 |   61,869,326.56 |  3.152 |  22,020,103.63 |    0.0% |      2.98 | `len=18`
|       14,451,768.38 |               69.20 |    0.0% |  184,549,387.56 |   57,314,012.89 |  3.220 |  20,971,527.28 |    0.0% |      2.76 | `len=17`
|       13,734,555.82 |               72.81 |    0.0% |  174,063,627.37 |   54,468,724.79 |  3.196 |  19,922,951.06 |    0.0% |      2.62 | `len=16`
|       12,713,616.61 |               78.66 |    0.0% |  163,577,867.06 |   50,420,718.06 |  3.244 |  18,874,374.78 |    0.0% |      2.43 | `len=15`
|       11,449,423.44 |               87.34 |    0.1% |  153,092,106.68 |   45,405,568.89 |  3.372 |  17,825,798.39 |    0.0% |      2.19 | `len=14`
|       10,647,917.06 |               93.92 |    0.0% |  142,606,346.44 |   42,225,565.16 |  3.377 |  16,777,222.12 |    0.0% |      2.03 | `len=13`
|        9,897,844.89 |              101.03 |    0.1% |  132,120,586.19 |   39,242,047.50 |  3.367 |  15,728,645.89 |    0.0% |      1.89 | `len=12`
|        9,065,978.18 |              110.30 |    0.2% |  121,634,825.94 |   35,937,908.53 |  3.385 |  14,680,069.67 |    0.0% |      1.73 | `len=11`
|        8,160,724.18 |              122.54 |    0.0% |  111,149,065.69 |   32,350,944.63 |  3.436 |  13,631,493.39 |    0.0% |      1.56 | `len=10`
|        7,374,772.75 |              135.60 |    0.0% |  100,663,305.44 |   29,234,556.75 |  3.443 |  12,582,917.16 |    0.0% |      1.41 | `len=9`
|        6,431,171.83 |              155.49 |    0.1% |   90,177,545.17 |   25,486,252.37 |  3.538 |  11,534,340.89 |    0.0% |      1.23 | `len=8`
|        5,591,104.81 |              178.86 |    0.0% |   79,691,784.89 |   22,154,837.53 |  3.597 |  10,485,764.62 |    0.0% |      1.07 | `len=7`
|        5,015,120.33 |              199.40 |    0.1% |   69,206,024.75 |   19,872,871.50 |  3.482 |   9,437,188.44 |    0.0% |      0.96 | `len=6`
