
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       11,569,616.39 |               86.43 |    0.0% |  144,703,498.71 |   45,872,020.00 |  3.155 |  18,874,373.37 |    0.0% |      2.21 | `len=16`
|        8,854,260.47 |              112.94 |    0.0% |  111,149,065.89 |   35,104,863.76 |  3.166 |  14,680,068.56 |    0.0% |      1.69 | `len=12`
|        6,089,744.94 |              164.21 |    0.1% |   77,594,633.06 |   24,143,805.22 |  3.214 |  10,485,763.72 |    0.0% |      1.16 | `len=8`
|        3,145,368.28 |              317.93 |    0.0% |   44,040,200.18 |   12,455,287.82 |  3.536 |   6,291,458.82 |    0.0% |      0.60 | `len=4`
|        1,057,222.44 |              945.87 |    0.0% |   17,825,799.56 |    4,195,872.35 |  4.248 |   3,145,730.19 |    0.0% |      0.20 | `len=1`
|        1,757,202.65 |              569.09 |    0.1% |   27,262,983.76 |    6,971,636.89 |  3.911 |   4,194,306.41 |    0.0% |      0.34 | `len=2`
|        1,057,709.29 |              945.44 |    0.0% |   17,825,799.56 |    4,195,901.95 |  4.248 |   3,145,730.21 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-1      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       11,452,046.33 |               87.32 |    0.0% |  147,849,226.68 |   45,413,998.00 |  3.256 |  18,874,373.31 |    0.0% |      2.19 | `len=16`
|        8,715,847.17 |              114.73 |    0.0% |  114,294,793.83 |   34,560,893.89 |  3.307 |  14,680,068.50 |    0.0% |      1.66 | `len=12`
|        5,917,468.81 |              168.99 |    0.1% |   80,740,361.00 |   23,456,517.81 |  3.442 |  10,485,763.67 |    0.0% |      1.13 | `len=8`
|        3,029,047.61 |              330.14 |    0.0% |   47,185,928.12 |   11,990,474.00 |  3.935 |   6,291,458.79 |    0.0% |      0.58 | `len=4`
|        1,057,327.22 |              945.78 |    0.0% |   20,971,527.56 |    4,195,866.62 |  4.998 |   3,145,730.19 |    0.0% |      0.20 | `len=1`
