
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       12,945,637.37 |               77.25 |    0.0% |  161,480,715.12 |   51,361,502.67 |  3.144 |  20,971,525.76 |    0.0% |      2.47 | `len=18`
|       12,221,491.67 |               81.82 |    0.0% |  153,092,106.89 |   48,481,525.50 |  3.158 |  19,922,949.56 |    0.0% |      2.33 | `len=17`
|       11,566,255.06 |               86.46 |    0.0% |  144,703,498.71 |   45,869,477.17 |  3.155 |  18,874,373.37 |    0.0% |      2.21 | `len=16`
|       10,772,981.53 |               92.82 |    0.0% |  136,314,890.47 |   42,708,433.65 |  3.192 |  17,825,797.12 |    0.0% |      2.06 | `len=15`
|       10,083,637.00 |               99.17 |    0.0% |  127,926,282.24 |   39,970,891.22 |  3.200 |  16,777,220.89 |    0.0% |      1.93 | `len=14`
|        9,424,871.95 |              106.10 |    0.0% |  119,537,674.06 |   37,369,223.94 |  3.199 |  15,728,644.72 |    0.0% |      1.82 | `len=13`
|        8,823,480.33 |              113.33 |    0.1% |  111,149,065.88 |   34,982,209.32 |  3.177 |  14,680,068.53 |    0.0% |      1.69 | `len=12`
|        8,084,533.16 |              123.69 |    0.1% |  102,760,457.67 |   32,056,279.47 |  3.206 |  13,631,492.32 |    0.0% |      1.54 | `len=11`
|        7,489,828.76 |              133.51 |    0.1% |   94,371,849.47 |   29,693,604.18 |  3.178 |  12,582,916.12 |    0.0% |      1.43 | `len=10`
|        6,674,883.71 |              149.82 |    0.0% |   85,983,241.24 |   26,449,162.26 |  3.251 |  11,534,339.88 |    0.0% |      1.27 | `len=9`
|        6,089,671.22 |              164.21 |    0.0% |   77,594,633.06 |   24,138,448.33 |  3.215 |  10,485,763.71 |    0.0% |      1.16 | `len=8`
|        5,208,390.61 |              192.00 |    0.0% |   69,206,024.79 |   20,627,233.22 |  3.355 |   9,437,187.44 |    0.0% |      0.99 | `len=7`
|        4,526,164.87 |              220.94 |    0.0% |   60,817,416.59 |   17,927,670.24 |  3.392 |   8,388,611.24 |    0.0% |      0.86 | `len=6`
|        3,832,035.18 |              260.96 |    0.0% |   52,428,808.38 |   15,174,158.62 |  3.455 |   7,340,035.05 |    0.0% |      0.73 | `len=5`
|        3,146,097.72 |              317.85 |    0.0% |   44,040,200.18 |   12,451,808.71 |  3.537 |   6,291,458.82 |    0.0% |      0.60 | `len=4`
|        2,429,581.88 |              411.59 |    0.1% |   35,651,591.95 |    9,632,033.50 |  3.701 |   5,242,882.62 |    0.0% |      0.46 | `len=3`
|        1,757,809.12 |              568.89 |    0.0% |   27,262,983.76 |    6,973,498.83 |  3.910 |   4,194,306.41 |    0.0% |      0.34 | `len=2`
|        1,057,587.17 |              945.55 |    0.0% |   17,825,799.56 |    4,195,813.72 |  4.248 |   3,145,730.21 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-u8     
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       12,017,881.76 |               83.21 |    0.0% |  162,529,290.83 |   47,611,536.35 |  3.414 |  20,971,525.50 |    0.0% |      2.30 | `len=18`
|       11,280,596.00 |               88.65 |    0.0% |  154,140,682.61 |   44,701,142.53 |  3.448 |  19,922,949.28 |    0.0% |      2.16 | `len=17`
|       10,398,575.89 |               96.17 |    0.1% |  145,752,074.35 |   41,209,892.17 |  3.537 |  18,874,373.00 |    0.0% |      1.99 | `len=16`
|       10,153,658.00 |               98.49 |    0.1% |  137,363,466.28 |   40,235,108.11 |  3.414 |  17,825,796.94 |    0.0% |      1.94 | `len=15`
|        8,910,696.12 |              112.22 |    0.0% |  128,974,857.89 |   35,308,794.81 |  3.653 |  16,777,220.56 |    0.0% |      1.70 | `len=14`
|        8,242,241.29 |              121.33 |    0.0% |  120,586,249.71 |   32,647,305.56 |  3.694 |  15,728,644.37 |    0.0% |      1.58 | `len=13`
|        7,534,720.53 |              132.72 |    0.0% |  112,197,641.50 |   29,825,356.05 |  3.762 |  14,680,068.16 |    0.0% |      1.44 | `len=12`
|        6,798,707.67 |              147.09 |    0.1% |  103,809,033.28 |   26,922,563.72 |  3.856 |  13,631,491.94 |    0.0% |      1.30 | `len=11`
|        6,458,593.41 |              154.83 |    0.5% |   95,420,425.18 |   25,572,137.41 |  3.731 |  12,582,915.82 |    0.0% |      1.24 | `len=10`
|        5,714,878.24 |              174.98 |    0.4% |   87,031,816.94 |   22,623,293.12 |  3.847 |  11,534,339.61 |    0.0% |      1.09 | `len=9`
|        5,252,329.37 |              190.39 |    1.3% |   78,643,208.79 |   20,787,617.37 |  3.783 |  10,485,763.44 |    0.0% |      1.00 | `len=8`
|        4,556,423.42 |              219.47 |    1.1% |   70,254,600.59 |   18,037,004.26 |  3.895 |   9,437,187.24 |    0.0% |      0.87 | `len=7`
|        4,341,917.71 |              230.31 |    2.1% |   61,865,992.56 |   17,191,378.88 |  3.599 |   8,388,611.19 |    0.0% |      0.83 | `len=6`
|        3,125,636.47 |              319.93 |    0.1% |   53,477,384.18 |   12,371,441.74 |  4.323 |   7,340,034.83 |    0.0% |      0.60 | `len=5`
|        2,627,326.47 |              380.62 |    0.0% |   45,088,776.00 |   10,398,175.59 |  4.336 |   6,291,458.67 |    0.0% |      0.50 | `len=4`
|        2,116,047.39 |              472.58 |    0.0% |   36,700,167.88 |    8,393,867.39 |  4.372 |   5,242,882.50 |    0.0% |      0.40 | `len=3`
|        1,322,407.76 |              756.20 |    0.0% |   28,311,559.62 |    5,247,377.88 |  5.395 |   4,194,306.28 |    0.0% |      0.25 | `len=2`
|          881,562.87 |            1,134.35 |    0.0% |   18,874,375.50 |    3,496,749.56 |  5.398 |   3,145,730.16 |    0.0% |      0.17 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub-1  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       11,135,005.71 |               89.81 |    0.0% |  143,654,922.58 |   44,095,335.75 |  3.258 |  20,971,525.24 |    0.0% |      2.13 | `len=18`
|       10,864,639.11 |               92.04 |    0.0% |  136,314,890.50 |   43,015,710.12 |  3.169 |  19,922,949.16 |    0.0% |      2.08 | `len=17`
|        9,853,686.47 |              101.48 |    0.0% |  128,974,858.18 |   39,021,183.63 |  3.305 |  18,874,372.83 |    0.0% |      1.88 | `len=16`
|        9,311,999.75 |              107.39 |    0.0% |  121,634,826.06 |   36,871,766.61 |  3.299 |  17,825,796.69 |    0.0% |      1.78 | `len=15`
|        8,906,422.62 |              112.28 |    0.0% |  114,294,793.89 |   35,273,287.94 |  3.240 |  16,777,220.56 |    0.0% |      1.70 | `len=14`
|        8,034,375.62 |              124.47 |    0.0% |  106,954,761.65 |   31,804,550.59 |  3.363 |  15,728,644.29 |    0.0% |      1.54 | `len=13`
|        7,880,048.47 |              126.90 |    0.1% |   99,614,729.61 |   31,190,673.41 |  3.194 |  14,680,068.25 |    0.0% |      1.51 | `len=12`
|        6,466,031.21 |              154.65 |    0.3% |   92,274,697.18 |   25,591,809.26 |  3.606 |  13,631,491.82 |    0.0% |      1.24 | `len=11`
|        6,066,255.00 |              164.85 |    0.1% |   84,934,665.06 |   24,008,439.06 |  3.538 |  12,582,915.71 |    0.0% |      1.16 | `len=10`
|        5,479,997.88 |              182.48 |    0.1% |   77,594,632.88 |   21,687,781.12 |  3.578 |  11,534,339.53 |    0.0% |      1.05 | `len=9`
|        4,761,355.71 |              210.02 |    0.3% |   70,254,600.69 |   18,840,914.24 |  3.729 |  10,485,763.32 |    0.0% |      0.91 | `len=8`
|        4,013,178.88 |              249.18 |    0.1% |   62,914,568.44 |   15,868,934.50 |  3.965 |   9,437,187.11 |    0.0% |      0.77 | `len=7`
|        3,455,039.69 |              289.43 |    0.0% |   55,574,536.26 |   13,667,822.12 |  4.066 |   8,388,610.94 |    0.0% |      0.66 | `len=6`
|        2,921,120.50 |              342.33 |    0.1% |   48,234,504.11 |   11,558,186.44 |  4.173 |   7,340,034.78 |    0.0% |      0.56 | `len=5`
|        2,390,601.47 |              418.30 |    0.0% |   40,894,471.94 |    9,459,515.63 |  4.323 |   6,291,458.59 |    0.0% |      0.46 | `len=4`
|        1,853,094.94 |              539.64 |    0.0% |   33,554,439.78 |    7,347,595.21 |  4.567 |   5,242,882.44 |    0.0% |      0.35 | `len=3`
|        1,294,001.00 |              772.80 |    0.0% |   26,214,407.61 |    5,131,304.32 |  5.109 |   4,194,306.28 |    0.0% |      0.25 | `len=2`
|          794,140.59 |            1,259.22 |    0.0% |   17,825,799.47 |    3,147,243.50 |  5.664 |   3,145,730.12 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub-2  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,586,930.56 |               94.46 |    0.1% |  122,683,402.41 |   41,885,007.12 |  2.929 |  20,971,525.06 |    0.0% |      2.02 | `len=18`
|        9,632,680.31 |              103.81 |    0.0% |  117,440,522.12 |   38,127,057.38 |  3.080 |  20,971,524.78 |    0.0% |      1.84 | `len=17`
|        8,923,636.61 |              112.06 |    0.0% |  111,149,065.89 |   35,314,818.82 |  3.147 |  19,922,948.56 |    0.0% |      1.70 | `len=16`
|        8,332,739.18 |              120.01 |    0.0% |  104,857,609.74 |   32,974,341.71 |  3.180 |  18,874,372.38 |    0.0% |      1.59 | `len=15`
|        7,762,493.29 |              128.82 |    0.0% |   98,566,153.56 |   30,716,829.53 |  3.209 |  17,825,796.22 |    0.0% |      1.48 | `len=14`
|        7,168,542.41 |              139.50 |    0.0% |   92,274,697.38 |   28,361,082.74 |  3.254 |  16,777,220.05 |    0.0% |      1.37 | `len=13`
|        6,573,963.75 |              152.12 |    0.0% |   85,983,241.21 |   26,010,990.00 |  3.306 |  15,728,643.88 |    0.0% |      1.26 | `len=12`
|        5,787,572.72 |              172.78 |    0.1% |   79,691,784.95 |   22,900,089.44 |  3.480 |  14,680,067.62 |    0.0% |      1.11 | `len=11`
|        5,316,158.41 |              188.11 |    0.0% |   73,400,328.83 |   21,037,645.82 |  3.489 |  13,631,491.50 |    0.0% |      1.02 | `len=10`
|        4,766,104.69 |              209.81 |    0.0% |   67,108,872.67 |   18,859,508.50 |  3.558 |  12,582,915.31 |    0.0% |      0.91 | `len=9`
|        4,192,581.06 |              238.52 |    0.0% |   60,817,416.50 |   16,591,031.22 |  3.666 |  11,534,339.16 |    0.0% |      0.80 | `len=8`
|        3,556,622.29 |              281.17 |    0.0% |   54,525,960.29 |   14,072,178.61 |  3.875 |  10,485,762.94 |    0.0% |      0.68 | `len=7`
